0,1,2,3,4,5,6,7,8,9
"Shawshank Redemption, The (1994)",Secrets & Lies (1996),Lawrence of Arabia (1962),Touch of Evil (1958),"Great Escape, The (1963)",Cool Hand Luke (1967),Yojimbo (1961),"Last Picture Show, The (1971)",Eternal Sunshine of the Spotless Mind (2004),"Departed, The (2006)"
"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Hustler, The (1961)","Outlaw Josey Wales, The (1976)",Hedwig and the Angry Inch (2000),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Rear Window (1954),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Wallace & Gromit: The Best of Aardman Animation (1996),Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),"Godfather, The (1972)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Touch of Evil (1958),Fight Club (1999),Guess Who's Coming to Dinner (1967),There Will Be Blood (2007),"Day of the Doctor, The (2013)"
"Shawshank Redemption, The (1994)","Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Fight Club (1999),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Usual Suspects, The (1995)","Philadelphia Story, The (1940)",Rear Window (1954),Casablanca (1942),Brazil (1985),Goodfellas (1990),Seven Samurai (Shichinin no samurai) (1954),"Matrix, The (1999)",Fight Club (1999),"Departed, The (2006)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),"Grand Day Out with Wallace and Gromit, A (1989)",Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)"
"Shawshank Redemption, The (1994)",His Girl Friday (1940),Secrets & Lies (1996),"Streetcar Named Desire, A (1951)","Grand Day Out with Wallace and Gromit, A (1989)","Seventh Seal, The (Sjunde inseglet, Det) (1957)",Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Life Is Beautiful (La Vita è bella) (1997),Fight Club (1999),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)",In Bruges (2008),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Wallace & Gromit: The Best of Aardman Animation (1996),Ghost in the Shell (Kôkaku kidôtai) (1995),His Girl Friday (1940),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),"Hustler, The (1961)","Outlaw Josey Wales, The (1976)","Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Philadelphia Story, The (1940)",Rear Window (1954),Secrets & Lies (1996),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Rear Window (1954),His Girl Friday (1940),Secrets & Lies (1996),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),Secrets & Lies (1996),Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967)
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Philadelphia Story, The (1940)",To Catch a Thief (1955),His Girl Friday (1940),Secrets & Lies (1996),Paths of Glory (1957),Ran (1985),Yojimbo (1961),Guess Who's Coming to Dinner (1967),"Departed, The (2006)","Three Billboards Outside Ebbing, Missouri (2017)"
Hoop Dreams (1994),"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Rear Window (1954),Notorious (1946),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Touch of Evil (1958),Fight Club (1999),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967),"Hustler, The (1961)","Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Godfather, The (1972)","Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Yojimbo (1961),Guess Who's Coming to Dinner (1967),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Departed, The (2006)",There Will Be Blood (2007)
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Philadelphia Story, The (1940)",Casablanca (1942),Apocalypse Now (1979),"Graduate, The (1967)",Fight Club (1999),Yojimbo (1961),Gallipoli (1981),"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Touch of Evil (1958),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),All the President's Men (1976),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Rear Window (1954),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Touch of Evil (1958),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Hoop Dreams (1994),Wallace & Gromit: The Best of Aardman Animation (1996),Ghost in the Shell (Kôkaku kidôtai) (1995),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Star Wars: Episode IV - A New Hope (1977),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
In the Name of the Father (1993),"Streetcar Named Desire, A (1951)",Monty Python and the Holy Grail (1975),Lawrence of Arabia (1962),Ran (1985),Lifeboat (1944),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Mary and Max (2009),"Three Billboards Outside Ebbing, Missouri (2017)"
"Philadelphia Story, The (1940)",His Girl Friday (1940),Secrets & Lies (1996),"Streetcar Named Desire, A (1951)",Fight Club (1999),Yojimbo (1961),Guess Who's Coming to Dinner (1967),In the Mood For Love (Fa yeung nin wa) (2000),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Notorious (1946),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Rear Window (1954),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),Secrets & Lies (1996),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967),"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)","Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Great Escape, The (1963)",Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Yojimbo (1961),Guess Who's Coming to Dinner (1967),Captain Fantastic (2016)
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),His Girl Friday (1940),Paths of Glory (1957),Lawrence of Arabia (1962),Fight Club (1999),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Fight Club (1999),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Wallace & Gromit: The Best of Aardman Animation (1996),Ghost in the Shell (Kôkaku kidôtai) (1995),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Boot, Das (Boat, The) (1981)","Seventh Seal, The (Sjunde inseglet, Det) (1957)",Double Indemnity (1944),Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)"
Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),"Godfather: Part II, The (1974)",Guess Who's Coming to Dinner (1967)
Hoop Dreams (1994),"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)",Grave of the Fireflies (Hotaru no haka) (1988)
Wallace & Gromit: The Best of Aardman Animation (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Rear Window (1954),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Double Indemnity (1944),Guess Who's Coming to Dinner (1967)
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Hoop Dreams (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Streetcar Named Desire, A (1951)",Monty Python and the Holy Grail (1975),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),There Will Be Blood (2007),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Rear Window (1954),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Grand Day Out with Wallace and Gromit, A (1989)",Touch of Evil (1958),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Day of the Doctor, The (2013)"
"Shawshank Redemption, The (1994)","Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Secrets & Lies (1996),Paths of Glory (1957),Lawrence of Arabia (1962),Apocalypse Now (1979),Ran (1985),Guess Who's Coming to Dinner (1967),There Will Be Blood (2007),"Three Billboards Outside Ebbing, Missouri (2017)"
Hoop Dreams (1994),Ghost in the Shell (Kôkaku kidôtai) (1995),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Mary and Max (2009),"Three Billboards Outside Ebbing, Missouri (2017)"
Paths of Glory (1957),Ran (1985),Touch of Evil (1958),Man Bites Dog (C'est arrivé près de chez vous) (1992),"Boondock Saints, The (2000)",Guess Who's Coming to Dinner (1967),"Hustler, The (1961)",Grave of the Fireflies (Hotaru no haka) (1988),"Departed, The (2006)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),Secrets & Lies (1996),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Hoop Dreams (1994),Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Five Easy Pieces (1970),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),"Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Wallace & Gromit: The Wrong Trousers (1993),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)",Grave of the Fireflies (Hotaru no haka) (1988),Gallipoli (1981)
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Philadelphia Story, The (1940)",Rear Window (1954),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Hustler, The (1961)","Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),High Noon (1952),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Rebecca (1940),"Streetcar Named Desire, A (1951)","Grand Day Out with Wallace and Gromit, A (1989)","Boot, Das (Boat, The) (1981)",Double Indemnity (1944),Guess Who's Coming to Dinner (1967),Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),All the President's Men (1976),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Touch of Evil (1958),"Boondock Saints, The (2000)",Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Rear Window (1954),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Hustler, The (1961)",Grave of the Fireflies (Hotaru no haka) (1988)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Rear Window (1954),Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967),Hedwig and the Angry Inch (2000),"Day of the Doctor, The (2013)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Departed, The (2006)",There Will Be Blood (2007)
Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Hoop Dreams (1994),"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
